Name,Latitude,Longitude,,
Farrer Park Primary School,1.3119,103.8511,,
Fengshan Primary School,1.3309,103.9319,,
Fernvale Primary School,1.3898,103.8735,,
First Toa Payoh Primary School,1.3399,103.8562,,
Frontier Primary School,1.3371,103.6989,,
Fuchun Primary School,1.4293,103.7781,,
Fuhua Primary School,1.3359,103.7367,,
Gan Eng Seng Primary School,1.2867,103.8158,,
Geylang Methodist School (Primary),1.3177,103.8844,,
Gongshang Primary School,1.3574,103.9502,,
Greendale Primary School,1.3967,103.912,,
Greenridge Primary School,1.3865,103.7676,,
Greenwood Primary School,1.4404,103.8042,,
Guangyang Primary School,1.3454,103.8506,,
Haig Girls' School,1.3112,103.9036,,
Holy Innocents' Primary School,1.376,103.8573,,
Henry Park Primary School,1.3176,103.784,,
Hong Wen School,1.3212,103.8572,,
Horizon Primary School,1.3993,103.9138,,
Hougang Primary School,1.3781,103.8815,,
Huamin Primary School,1.4267,103.8432,,
Innova Primary School,1.4292,103.7898,,
Jiemin Primary School,1.4272,103.8299,,
Jing Shan Primary School,1.3722,103.8524,,
Junyuan Primary School,1.3483,103.9393,,
Jurong Primary School,1.348,103.7328,,
Jurong West Primary School,1.3388,103.6985,,
Juying Primary School,1.3397,103.6871,,
Keming Primary School,1.345,103.757,,
Kheng Cheng School,1.3374,103.8481,,
Kong Hwa School,1.3115,103.8877,,
Kranji Primary School,1.3941,103.748,,
Kuo Chuan Presbyterian Primary School,1.349,103.8543,,
Lakeside Primary School,1.3383,103.7171,,
Lianhua Primary School,1.3532,103.7543,,
Loyang Primary School,1.3705,103.9564,,
MacPherson Primary School,1.3254,103.8818,,
Maha Bodhi School,1.329,103.9014,,
Maris Stella High School,1.3401,103.8781,,
Marsiling Primary School,1.4345,103.7725,,
Marymount Convent School,1.3407,103.8393,,
Mayflower Primary School,1.3772,103.843,,
Mee Toh School,1.3954,103.9088,,
Meridian Primary School,1.3767,103.9356,,
Methodist Girls' School (Primary),1.3336,103.7828,,
Montfort Junior School,1.3735,103.8881,,
Nan Chiau Primary School,1.3924,103.89,,
Nan Hua Primary School,1.3201,103.7612,,
Nanyang Primary School,1.3203,103.8083,,
Ngee Ann Primary School,1.3054,103.9171,,
Naval Base Primary School,1.4164,103.8395,,
New Town Primary School,1.3,103.7989,,
Northland Primary School,1.4209,103.8411,,
Northoaks Primary School,1.4566,103.8146,,
North Spring Primary School,1.3877,103.9043,,
North View Primary School,1.4283,103.8486,,
North Vista Primary School,1.383,103.8952,,
Oasis Primary School,1.4047712,103.8759471,,
Opera Estate Primary School,1.3191,103.9242,,
Palm View Primary School,1.3836,103.8908,,
Park View Primary School,1.3783,103.9387,,
Pasir Ris Primary School,1.3722,103.9623,,
Paya Lebar Methodist Girls' School (Primary),1.3512,103.8847,,
Pei Chun Public School,1.3332,103.8581,,
Pei Hwa Presbyterian Primary School,1.3385,103.7767,,
Pei Tong Primary School,1.3168,103.7678,,
Peiying Primary School,1.4173,103.8306,,
Pioneer Primary School,1.3491,103.6957,,
Poi Ching School,1.3585,103.9356,,
Princess Elizabeth Primary School,1.3498,103.741,,
Punggol Cove Primary School,1.4122254,103.8985828,,
Punggol Green Primary School,1.4018,103.8992,,
Punggol Primary School,1.3782,103.8939,,
Punggol View Primary School,1.406,103.9048,,
Qifa Primary School,1.3119,103.7564,,
Qihua Primary School,1.4426,103.7889,,
Queenstown Primary School,1.2969,103.8081,,
Radin Mas Primary School,1.2745,103.824,,
Raffles Girls' Primary School,1.3295,103.8058,,
Red Swastika School,1.3332,103.934,,
Riverside Primary School,1.4469,103.8023,,
River Valley Primary School,1.293,103.8359,,
Rivervale Primary School,1.3932,103.9041,,
Rosyth School,1.3723,103.8748,,
Rulang Primary School,1.346,103.719,,
Sembawang Primary School,1.4447,103.8203,,
Sengkang Green Primary School,1.3928,103.8757,,
Seng Kang Primary School,1.39,103.8999,,
Shuqun Primary School,1.3477,103.7206,,
Si Ling Primary School,1.4325,103.7863,,
Singapore Chinese Girls' Primary School,1.3207,103.8269,,
South View Primary School,1.3812,103.7466,,
Springdale Primary School,1.3955,103.8895,,
Stamford Primary School,1.3043,103.8574,,
St. Andrew's Junior School,1.3316,103.8658,,
St. Anthony's Canossian Primary School,1.334,103.9412,,
St. Anthony's Primary School,1.3644881,103.7469731,,
St. Gabriel's Primary School,1.3502,103.8614,,
St. Hilda's Primary School,1.3493,103.9356,,
St. Joseph's Institution Junior,1.3173,103.8452,,
St. Margaret's Primary School,1.3044,103.8462,,
St. Stephen's School,1.319,103.9168,,
Tampines North Primary School,1.36,103.9488,,
Tampines Primary School,1.3494,103.9452,,
Tanjong Katong Primary School,1.3056,103.8998,,
Tao Nan School,1.3053,103.9119,,
Teck Ghee Primary School,1.3659,103.8505,,
Teck Whye Primary School,1.3834,103.7546,,
Telok Kurau Primary School,1.3317,103.911,,
Temasek Primary School,1.3176,103.9451,,
Townsville Primary School,1.3612,103.8538,,
Unity Primary School,1.4028,103.7474,,
Waterway Primary School,1.3990541,103.9184708,,
Wellington Primary School,1.4521,103.8219,,
West Grove Primary School,1.3451,103.6996,,
West Spring Primary School,1.3888,103.7666,,
Westwood Primary School,1.3481,103.7006,,
West View Primary School,1.384,103.7606,,
White Sands Primary School,1.3645,103.9615,,
Woodgrove Primary School,1.4325,103.7904,,
Woodlands Primary School,1.4363,103.7916,,
Woodlands Ring Primary School,1.4351,103.798,,
Xinghua Primary School,1.3581,103.8896,,
Xingnan Primary School,1.3422,103.6877,,
Xinmin Primary School,1.3708,103.8828,,
Xishan Primary School,1.4335,103.8367,,
Yangzheng Primary School,1.3493,103.8683,,
Yew Tee Primary School,1.3968,103.7502,,
Yio Chu Kang Primary School,1.3772,103.8856,,
Yishun Primary School,1.4344,103.8338,,
Yu Neng Primary School,1.3337,103.9316,,
Yuhua Primary School,1.3434,103.7409,,
Yumin Primary School,1.3515,103.9515,,
Zhangde Primary School,1.2847,103.8261,,
Zhenghua Primary School,1.3808,103.7689,,
Zhonghua Primary School,1.3589,103.8711,,
ADMIRALTY MRT STATION,1.440585001,103.8009982,,
ALJUNIED MRT STATION,1.316432612,103.882893,,
ANG MO KIO MRT STATION,1.369933175,103.8495535,,
BAKAU LRT STATION,1.388092704,103.9054179,,
BANGKIT LRT STATION,1.380017897,103.7726667,,
BARTLEY MRT STATION,1.342828338,103.8797462,,
BAYFRONT MRT STATION,1.281873788,103.8590733,,
BAYFRONT MRT STATION,1.281873788,103.8590733,,
BEAUTY WORLD MRT STATION,1.341223176,103.77581,,
BEDOK MRT STATION,1.323979969,103.9299587,,
BEDOK NORTH MRT STATION,1.334742117,103.9179554,,
BEDOK RESERVOIR MRT STATION,1.33660783,103.9322077,,
BENCOOLEN MRT STATION,1.29886427,103.8503799,,
BENDEMEER MRT STATION,1.313672233,103.8629702,,
BISHAN MRT STATION,1.35130868,103.84915,,
BISHAN MRT STATION,1.350838988,103.8481398,,
BOON KENG MRT STATION,1.319395706,103.861679,,
BOON LAY MRT STATION,1.338604054,103.7060994,,
BOTANIC GARDENS MRT STATION,1.322423979,103.8161362,,
BOTANIC GARDENS MRT STATION,1.322110193,103.8149876,,
BRADDELL MRT STATION,1.340471684,103.8467942,,
BRAS BASAH MRT STATION,1.296861687,103.8506629,,
BUANGKOK MRT STATION,1.382877858,103.8931042,,
BUGIS MRT STATION,1.299550746,103.8568623,,
BUGIS MRT STATION,1.300465076,103.8557007,,
BUKIT BATOK MRT STATION,1.349034109,103.74959,,
BUKIT BROWN MRT STATION,1.333728882,103.8306903,,
BUKIT GOMBAK MRT STATION,1.358761857,103.7519164,,
BUKIT PANJANG LRT STATION,1.377909898,103.763034,,
BUKIT PANJANG MRT STATION,1.379002117,103.7615559,,
BUONA VISTA MRT STATION,1.307183467,103.7902028,,
BUONA VISTA MRT STATION,1.306491669,103.7906645,,
CALDECOTT MRT STATION,1.337674508,103.8395281,,
CASHEW MRT STATION,1.369369831,103.764714,,
CHANGI AIRPORT MRT STATION,1.357314545,103.9883212,,
CHENG LIM LRT STATION,1.396277631,103.8937792,,
CHINATOWN MRT STATION,1.284359578,103.8434242,,
CHINATOWN MRT STATION,1.284748969,103.8444484,,
CHINESE GARDEN MRT STATION,1.342352821,103.7326244,,
CHOA CHU KANG LRT STATION,1.38483636,103.7445797,,
CHOA CHU KANG MRT STATION,1.385361693,103.744367,,
CITY HALL MRT STATION,1.292936243,103.852581,,
CITY HALL MRT STATION,1.292936243,103.852581,,
CLARKE QUAY MRT STATION,1.288386024,103.8465519,,
CLEMENTI MRT STATION,1.314954492,103.7653168,,
COMMONWEALTH MRT STATION,1.302438735,103.7983136,,
COMPASSVALE LRT STATION,1.394493046,103.9004726,,
CORAL EDGE LRT STATION,1.393909226,103.9125574,,
COVE LRT STATION,1.399281985,103.9059403,,
DAKOTA MRT STATION,1.30838264,103.888648,,
DAMAI LRT STATION,1.405234836,103.9085809,,
DHOBY GHAUT MRT STATION,1.298701307,103.8461119,,
DHOBY GHAUT MRT STATION,1.299705459,103.8454851,,
DHOBY GHAUT MRT STATION,1.298842816,103.8462358,,
DOVER MRT STATION,1.311405293,103.7786522,,
DOWNTOWN MRT STATION,1.27944619,103.8528356,,
ESPLANADE MRT STATION,1.293321608,103.8554985,,
EUNOS MRT STATION,1.319778952,103.9032339,,
EXPO MRT STATION,1.334549778,103.9615134,,
EXPO MRT STATION,1.335382137,103.9623407,,
FAJAR LRT STATION,1.384520796,103.7708268,,
FARMWAY LRT STATION,1.397170196,103.8892882,,
FARRER PARK MRT STATION,1.31235984,103.8541717,,
FARRER ROAD MRT STATION,1.317510612,103.8075929,,
FERNVALE LRT STATION,1.391885888,103.8762959,,
FORT CANNING MRT STATION,1.292478928,103.8443255,,
GEYLANG BAHRU MRT STATION,1.321505838,103.8718904,,
GUL CIRCLE MRT STATION,1.319505215,103.6605988,,
HARBOURFRONT MRT STATION,1.26547264,103.821446,,
HARBOURFRONT MRT STATION,1.26547264,103.821446,,
HAW PAR VILLA MRT STATION,1.282542157,103.7818234,,
HILLVIEW MRT STATION,1.362344869,103.7674369,,
HOLLAND VILLAGE MRT STATION,1.31183479,103.7962016,,
HOUGANG MRT STATION,1.371292292,103.8923636,,
JALAN BESAR MRT STATION,1.305403642,103.8554713,,
JELAPANG LRT STATION,1.386703025,103.7645235,,
JOO KOON MRT STATION,1.327717173,103.6784167,,
JURONG EAST MRT STATION,1.33315262,103.7423112,,
JURONG EAST MRT STATION,1.33315262,103.7423112,,
KADALOOR LRT STATION,1.399584853,103.9164619,,
KAKI BUKIT MRT STATION,1.334967302,103.9084393,,
KALLANG MRT STATION,1.31148891,103.8713766,,
KANGKAR LRT STATION,1.383978902,103.9021539,,
KEAT HONG LRT STATION,1.378602766,103.7490799,,
KEMBANGAN MRT STATION,1.321038249,103.9129282,,
KENT RIDGE MRT STATION,1.293462633,103.7846438,,
KHATIB MRT STATION,1.41738337,103.83298,,
KING ALBERT PARK MRT STATION,1.335665121,103.7838201,,
KOVAN MRT STATION,1.360179171,103.8850503,,
KRANJI MRT STATION,1.425177699,103.7621874,,
KUPANG LRT STATION,1.398212828,103.881242,,
LABRADOR PARK MRT STATION,1.272332732,103.8029471,,
LAKESIDE MRT STATION,1.344259249,103.7209802,,
LAVENDER MRT STATION,1.30735702,103.8628215,,
LAYAR LRT STATION,1.392079839,103.8800158,,
LITTLE INDIA MRT STATION,1.303916484,103.8524167,,
LITTLE INDIA MRT STATION,1.307198223,103.8485807,,
LORONG CHUAN MRT STATION,1.351612171,103.8641434,,
MACPHERSON MRT STATION,1.326345372,103.8902718,,
MACPHERSON MRT STATION,1.326076883,103.8893356,,
MARINA BAY MRT STATION,1.276427355,103.8545925,,
MARINA BAY MRT STATION,1.276150637,103.8550886,,
MARINA SOUTH PIER MRT STATION,1.271336711,103.8628525,,
MARSILING MRT STATION,1.432514421,103.77409,,
MARYMOUNT MRT STATION,1.348707263,103.8394214,,
MATTAR MRT STATION,1.326876715,103.8832341,,
MERIDIAN LRT STATION,1.396912053,103.9089277,,
MOUNTBATTEN MRT STATION,1.306201905,103.8825153,,
NEWTON MRT STATION,1.313607102,103.8378098,,
NEWTON MRT STATION,1.3123201,103.8379841,,
NIBONG LRT STATION,1.411870458,103.9002935,,
NICOLL HIGHWAY MRT STATION,1.299766835,103.8636292,,
NOVENA MRT STATION,1.320440791,103.8438228,,
OASIS LRT STATION,1.402286677,103.9127036,,
ONE-NORTH MRT STATION,1.299759879,103.7874693,,
ORCHARD MRT STATION,1.303981012,103.8322417,,
OUTRAM PARK MRT STATION,1.28140498,103.839125,,
OUTRAM PARK MRT STATION,1.279764543,103.8395732,,
PASIR PANJANG MRT STATION,1.276213523,103.7913607,,
PASIR RIS MRT STATION,1.372983774,103.9492348,,
PAYA LEBAR MRT STATION,1.318112082,103.8930446,,
PAYA LEBAR MRT STATION,1.317430268,103.8921633,,
PENDING LRT STATION,1.376142883,103.7712881,,
PETIR LRT STATION,1.377750334,103.7666882,,
PHOENIX LRT STATION,1.378618844,103.7580559,,
PIONEER MRT STATION,1.337586882,103.6973586,,
POTONG PASIR MRT STATION,1.331379525,103.869046,,
PROMENADE MRT STATION,1.292891552,103.860846,,
PROMENADE MRT STATION,1.293218051,103.8609921,,
PUNGGOL LRT STATION,1.405194701,103.9023911,,
PUNGGOL MRT STATION,1.404546728,103.902052,,
PUNGGOL POINT LRT STATION,1.41684852,103.9066284,,
QUEENSTOWN MRT STATION,1.294860933,103.8058913,,
RAFFLES PLACE MRT STATION,1.284125611,103.8514572,,
RAFFLES PLACE MRT STATION,1.284125611,103.8514572,,
RANGGUNG LRT STATION,1.384233561,103.897176,,
REDHILL MRT STATION,1.289562726,103.8168209,,
RENJONG LRT STATION,1.386723922,103.8905227,,
RIVIERA LRT STATION,1.394524496,103.9161415,,
ROCHOR MRT STATION,1.306800025,103.8496427,,
RUMBIA LRT STATION,1.391468497,103.9059522,,
SAM KEE LRT STATION,1.409612685,103.9048099,,
SAMUDERA LRT STATION,1.415901719,103.9021353,,
SEGAR LRT STATION,1.387772131,103.7696171,,
SEMBAWANG MRT STATION,1.449050821,103.8200504,,
SENGKANG LRT STATION,1.391609364,103.8954243,,
SENGKANG MRT STATION,1.391694626,103.8954664,,
SENJA LRT STATION,1.382692296,103.7623879,,
SERANGOON MRT STATION,1.350595256,103.8723572,,
SERANGOON MRT STATION,1.349707875,103.8735637,,
SIMEI MRT STATION,1.343202895,103.9533387,,
SIXTH AVENUE MRT STATION,1.330786387,103.7972561,,
SOMERSET MRT STATION,1.300260055,103.8390737,,
SOO TECK LRT STATION,1.405088585,103.8971904,,
SOUTH VIEW LRT STATION,1.380298287,103.7453173,,
STADIUM MRT STATION,1.30284063,103.8753395,,
STEVENS MRT STATION,1.320065557,103.8260263,,
SUMANG LRT STATION,1.408452426,103.8985387,,
TAI SENG MRT STATION,1.335433322,103.88818,,
TAMPINES EAST MRT STATION,1.356191483,103.9546005,,
TAMPINES MRT STATION,1.353301356,103.9451175,,
TAMPINES MRT STATION,1.355077429,103.9430298,,
TAMPINES WEST MRT STATION,1.345515305,103.938408,,
TAN KAH KEE MRT STATION,1.325883209,103.8073292,,
TANAH MERAH MRT STATION,1.327187135,103.9463161,,
TANJONG PAGAR MRT STATION,1.276521247,103.8458611,,
TECK LEE LRT STATION,1.412770894,103.9065554,,
TECK WHYE LRT STATION,1.376684679,103.7537352,,
TELOK AYER MRT STATION,1.282289536,103.8482991,,
TELOK BLANGAH MRT STATION,1.270753211,103.8097544,,
TEN MILE JUNCTION LRT STATION,1.380321008,103.760161,,
THANGGAM LRT STATION,1.397318155,103.8756226,,
TIONG BAHRU MRT STATION,1.286193393,103.827021,,
TOA PAYOH MRT STATION,1.332628987,103.8474979,,
TONGKANG LRT STATION,1.389347953,103.8858287,,
TUAS CRESCENT MRT STATION,1.321026553,103.6491245,,
TUAS LINK MRT STATION,1.340463766,103.6369324,,
TUAS WEST ROAD MRT STATION,1.329989089,103.6396662,,
UBI MRT STATION,1.329956826,103.8992348,,
UPPER CHANGI MRT STATION,1.341737484,103.9614367,,
WOODLANDS MRT STATION,1.436875128,103.7864999,,
WOODLANDS MRT STATION,1.436066981,103.7879451,,
WOODLANDS SOUTH MRT STATION,1.427259979,103.7938631,,
WOODLEIGH MRT STATION,1.339190046,103.8708081,,
YEW TEE MRT STATION,1.397535018,103.7474307,,
YIO CHU KANG MRT STATION,1.381756046,103.8449439,,
YISHUN MRT STATION,1.429443081,103.8350045,,
East Coast Park,1.3007842,103.9121866,,
Marina Bay Sands,1.2833965,103.8607526,,
Palawan Beach,1.2482777,103.8225374,,
Siloso Beach,1.2482777,103.8225374,,
Changi Beach,1.3909433,103.9920554,,
China Cultural Centre Singapore,1.298067,103.8521491,,
Science Centre Singapore,1.3332332,103.7362246,,
Singapore Discovery Centre,1.3326904,103.6789432,,
ArtScience Museum,1.2862738,103.8592663,,
Boat Quay,1.2876453,103.8493477,,
Clarke Quay,1.2906024,103.8464742,,
Bukit Timah Nature Reserve,1.3540562,103.7769454,,
Mount Faber Park,1.2737864,103.8174964,,
Baba House,1.277235,103.8373551,,
City Hall Building Singapore,1.29068,103.851743,,
Fort Canning,1.2945118,103.8458004,,
Fort Siloso,1.25915,103.8086221,,
Raffles Hotel Singapore,1.2948829,103.8544791,,
Marina Barrage,1.2805282,103.8711747,,
URA City Gallery,1.279783,103.8451536,,
Sungei Buloh Wetland Reserve,1.4479987,103.7245442,,
Buddha Tooth Relic Temple and Museum,1.2813361,103.8445218,,
Sri Mariamman Temple,1.2826847,103.8451304,,
Sultan Mosque,1.3018439,103.8592161,,
National Stadium Singapore,1.304013,103.8748426,,
Singapore Indoor Stadium,1.3005709,103.874394,,
Haw Par Villa,1.2842878,103.7824933,,
Adventure Cove,1.2587902,103.8186627,,
Universal Studios Singapore,1.2540421,103.8238084,,
Wild Wild Wet,1.3778232,103.9542874,,
Royal Albatross Singapore,1.258897,103.819902,,
Singapore Ducktours,1.2941283,103.8570517,,
Helix Bridge,1.2876834,103.8605974,,
Southern Ridges,1.2801012,103.8029949,,
Jurong Bird Park,1.3187065,103.7064417,,
Night Safari,1.4021872,103.7880606,,
River Safari,1.4031673,103.7906858,,
Singapore Zoo,1.4043485,103.793023,,
Yio Chu Kang CC,1.381517272,103.8414281,,
Radin Mas CC,1.275931018,103.8197531,,
Rivervale CC,1.393628314,103.901775,,
Sembawang CC,1.451681528,103.8287832,,
Sengkang CC,1.392785586,103.8939061,,
Senja-Cashew CC,1.38158679,103.7646596,,
Siglap CC,1.321631858,103.9433366,,
Gek Poh Ville CC,1.348689819,103.6987263,,
Geylang Serai CC,1.316462382,103.896748,,
Geylang West CC,1.315691108,103.8723879,,
Henderson CC,1.286011711,103.8233123,,
Hillview CC,1.361967244,103.7642664,,
Hong Kah North CC,1.359058888,103.7494568,,
Hougang CC,1.364757432,103.8926222,,
Hwi Yoh CC,1.3736001,103.873891,,
Jalan Besar CC,1.308004171,103.8617866,,
Joo Chiat CC,1.307457206,103.9041689,,
Jurong Green CC,1.350556032,103.7253416,,
Jurong Spring CC (Till 3Q 2020),1.349421308,103.7170118,,
Jurong Spring CC (U/C),1.348330159,103.7181505,,
Kaki Bukit CC,1.33335815,103.9268486,,
Kallang CC,1.317802905,103.8623733,,
Kampong Chai Chee CC,1.326997164,103.9316635,,
Kampong Glam CC,1.302795218,103.8635979,,
Kampong Kembangan CC,1.323155199,103.9126987,,
Kampong Ubi CC,1.317846431,103.9007501,,
Katong CC,1.300591174,103.8847489,,
Keat Hong CC,1.384065159,103.7449238,,
Bukit Panjang CC,1.376450749,103.7705588,,
Bukit Timah CC,1.34050086,103.7716096,,
Buona Vista CC,1.309182106,103.7925475,,
Cairnhill CC,1.31038767,103.8388827,,
Canberra CC,1.445044127,103.8194737,,
Changi Simei CC,1.344935531,103.9551109,,
Cheng San CC,1.371780447,103.84957,,
Chong Pang CC,1.43083237,103.8292349,,
Chua Chu Kang CC,1.38115529,103.7519039,,
Ci Yuan CC,1.375148978,103.8828942,,
Clementi CC,1.318815188,103.7681537,,
Dover CC,1.302529945,103.7832717,,
Eunos CC,1.332552778,103.9151436,,
Fengshan CC (U/C),1.330707618,103.9366136,,
Fengshan CC (Till 3Q 2020),1.330498792,103.9399957,,
Zhenghua CC,1.386806829,103.7715208,,
Fuchun CC,1.429529819,103.7748119,,
Pek Kio CC,1.313058648,103.8513738,,
Marsiling CC,1.440656777,103.7736152,,
Mountbatten CC (Till further notice),1.310047998,103.8846782,,
Mountbatten CC (U/C),1.310081694,103.8869481,,
Nanyang CC,1.342364028,103.6923202,,
Nee Soon Central CC,1.427999956,103.836142,,
Nee Soon East CC,1.431020872,103.8384881,,
Nee Soon South CC,1.415174966,103.8346931,,
Nee Soon Spring CC,1.41960682,103.8472882,,
Pasir Ris East CC,1.368587029,103.959198,,
Pasir Ris Elias CC,1.378429437,103.9424764,,
Paya Lebar Kovan CC,1.357798605,103.8860921,,
Potong Pasir CC,1.332535912,103.8670368,,
Punggol 21 CC,1.393606242,103.9134641,,
Punggol CC,1.374378821,103.8918153,,
Punggol Park CC,1.377734444,103.8962529,,
Punggol Vista CC,1.403284291,103.9072886,,
Punggol West CC,1.404515901,103.8956649,,
Queenstown CC,1.299150228,103.8013051,,
Kebun Baru CC,1.373007499,103.8376124,,
Kim Seng CC,1.28968266,103.8307064,,
Kolam Ayer CC (Till 3Q 2019),1.323690767,103.8701632,,
Kolam Ayer CC (U/C),1.324154318,103.8696931,,
Kreta Ayer CC,1.281192576,103.8430129,,
Leng Kee CC,1.289787119,103.8144483,,
MacPherson CC,1.323537088,103.8844812,,
Yishun Link CC (U/C),1.425531439,103.8469619,,
Yuhua CC,1.339972853,103.7370659,,
Siglap South CC,1.313158952,103.9306235,,
Taman Jurong CC,1.335306801,103.7216264,,
Tampines Central CC,1.353496155,103.9396836,,
Tampines Changkat CC,1.345813346,103.9476878,,
ACE The Place CC,1.427492776,103.7922408,,
Aljunied CC,1.354658083,103.8895462,,
Anchorvale CC,1.397127918,103.8866657,,
Ang Mo Kio CC,1.366833481,103.8406681,,
Ayer Rajah CC,1.320799304,103.7475402,,
Bedok CC,1.324246598,103.9360478,,
Bishan CC,1.349511618,103.8505093,,
Bishan North CC,1.358576,103.8455927,,
Bishan North CC (U/C),1.36150663,103.8414432,,
Boon Lay CC,1.348323225,103.7113802,,
Braddell Heights CC,1.351612246,103.8703679,,
Bukit Batok CC,1.350190806,103.7475144,,
Bukit Batok East CC,1.348987388,103.7581958,,
Bukit Merah CC,1.285254266,103.8158285,,
Marine Parade CC,1.304828598,103.9095453,,
Tampines East CC (U/C),1.353356826,103.9546205,,
Tampines East CC (Till 4Q 2019),1.351871115,103.9526595,,
Tampines North CC,1.357273979,103.9466515,,
Tampines West CC,1.348750764,103.9356334,,
Tanglin CC,1.323384468,103.8268772,,
Tanjong Pagar CC,1.27616698,103.8415842,,
Teck Ghee CC,1.363088679,103.8535361,,
Telok Blangah CC,1.274862657,103.8078754,,
The Frontier CC,1.340469564,103.7044527,,
The Serangoon CC,1.370054862,103.8739276,,
Thomson CC,1.351297588,103.8361863,,
Tiong Bahru CC,1.283452517,103.8318827,,
Toa Payoh Central CC,1.334933802,103.8502053,,
Toa Payoh East CC,1.336274892,103.8547002,,
Toa Payoh South CC,1.33489037,103.859379,,
Toa Payoh West CC (Till 3Q 2019),1.337963935,103.8432773,,
Toa Payoh West CC (U/C),1.335382712,103.8448309,,
Ulu Pandan CC,1.312009409,103.7892112,,
West Coast CC,1.30264556,103.7648321,,
Whampoa CC,1.324639594,103.8569792,,
Woodgrove CC,1.431771022,103.7850069,,
Woodlands CC,1.439730339,103.7882354,,
Woodlands Galaxy CC,1.439041607,103.802611,,
Fernvale CC (U/C),1.391660944,103.8771563,,
Yew Tee CC,1.394917584,103.7447279,,
imPAct@Hong Lim Green,1.285977663,103.8465078,,
Siglap CC (U/C),1.317291936,103.9467421,,
Rivervale CC (U/C),1.385091938,103.9024944,,
Bidadari CC (U/C),1.33880065,103.8717756,,
Market Street Interim Hawker Centre,1.281595643,103.8489737,,
Marsiling Lane Blk 20/21,1.443881817,103.7772032,,
Woodleigh Village Hawker Centre,1.339796136,103.8720902,,
Bukit Canberra Hawker Centre,1.449216606,103.8223992,,
Anchorvale Village Hawker Centre,1.396914176,103.8884896,,
Fernvale Hawker Centre,1.391592327,103.8770605,,
Punggol Town Hub Hawker Centre,1.408189969,103.9048057,,
Our Tampines Hub,1.353862118,103.9397262,,
New Upper Changi Road Blk 58,1.324187828,103.9411324,,
Newton Food Centre,1.311892357,103.8395627,,
Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),1.308251563,103.8858332,,
Pasir Panjang Food Centre,1.275907525,103.7914027,,
Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),1.306205841,103.850531,,
Ghim Moh Road Blk 20,1.310996273,103.7882307,,
Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),1.28797544,103.8296268,,
Holland Drive Blk 44 (Holland Drive Market and Food Centre),1.308117759,103.7927738,,
Holland Village Market and Food Centre,1.310908028,103.7948629,,
